Organism Name,Average Gene Length,Average Length of First Coded Exon to Last Coded Exon
Homo sapiens,58014.78459883846,49702.144633254466
Mus musculus,45011.0997479443,38961.105904714685
Rattus norvegicus,45494.1992564738,39921.3711648577
Loxodonta africana,51406.977333646835,46813.63254173525
Rattus norvegicus,41346.85952902519,37014.228231106244
Canis lupus familiaris,52339.86570443989,45180.414273585375
Monodelphis domestica,66488.2745368171,58616.71871733967
Sus scrofa,55856.643822440245,47422.842735535996
Oryctolagus cuniculus,50317.25629391101,45160.98638758782
Ailuropoda melanoleuca,45596.91609826145,40742.28319400995
Callithrix jacchus,55735.39924996394,49250.04591566902
Nomascus leucogenys,57359.54790170502,50677.777614929895
Myotis lucifugus,38747.317068293174,35092.75722427757
Cavia porcellus,42942.944131594544,38490.1555522624
Pteropus vampyrus,43396.1675766699,38949.81997244476
Dipodomys ordii,40048.34175185408,36870.952846261775
Gorilla gorilla gorilla,53819.49981350242,47464.35471838866
Carlito syrichta,41569.37072660221,37856.06239409947
Microcebus murinus,53606.25300154919,46697.47773044152
Sorex araneus,40672.72909147159,39546.76621635557
Otolemur garnettii,49666.98809523809,45434.550264550264
Felis catus,56531.23867191442,49062.35815924917
Sarcophilus harrisii,49792.22387910827,45811.00927634532
Dasypus novemcinctus,48350.43454839289,43275.947521996764
Mustela putorius furo,52246.28302745336,45754.28206683857
Cricetulus griseus,34247.50741742863,30993.151240903153
Saimiri boliviensis boliviensis,53922.83616817241,48261.83399788018
Ictidomys tridecemlineatus,44477.97859464866,40134.30867716929
Trichechus manatus latirostris,57648.27670561235,53175.5597746714
Heterocephalus glaber,53271.47422526074,46481.92534557613
Bos indicus,48040.74891948939,43006.967634938184
Pan paniscus,55944.836548715466,48362.087881725645
Octodon degus,50681.2366088632,45397.859248554916
Condylura cristata,42004.85996659243,37783.86731625835
Papio anubis,57209.95689858213,49643.97955626737
Chinchilla lanigera,47092.237625199596,41541.728891469495
Jaculus jaculus,50507.8013136289,49066.279569892475
Ceratotherium simum simum,45088.68599562363,41445.342997811815
Ochotona princeps,44272.13598967576,42341.10410281228
Chrysochloris asiatica,63212.271030401134,61125.17153118519
Erinaceus europaeus,49482.76598049838,46705.530103699115
Orycteropus afer afer,67000.75257574212,64577.52958278078
Bos mutus,42785.969216554004,39967.33920147838
Elephantulus edwardii,57838.728223844286,56147.92793187348
Eptesicus fuscus,45477.51630723468,40601.46839477318
Camelus ferus,39026.07068992128,34860.47918917528
Microtus ochrogaster,45985.63546043201,40826.8754881123
Odobenus rosmarus divergens,46355.4847441956,43605.38622354633
Pteropus alecto,44444.896566757496,40002.42997275204
Myotis davidii,41206.836449340604,37174.68222022139
Orcinus orca,52413.58677595027,48805.04131140327
Tupaia chinensis,49824.340700249755,44816.811507469014
Mesocricetus auratus,43059.45123804854,38456.04618779112
Leptonychotes weddellii,38826.133716400465,37033.29066030386
Macaca fascicularis,58311.04436220321,50703.61381332308
Chlorocebus sabaeus,58109.45455837756,51465.17807050796
Myotis brandtii,42343.1824996252,37756.33886362501
Lipotes vexillifer,45944.612693203475,43542.67425365234
Panthera tigris altaica,46380.03950843529,42224.65444941519
Balaenoptera acutorostrata scammoni,52005.94797136038,46318.847785733225
Peromyscus maniculatus bairdii,44958.21992781763,39716.12001461921
Nannospalax galili,50919.09871630903,45074.658898204725
Ursus maritimus,43750.66339281123,40610.53005604978
Galeopterus variegatus,33329.526593425755,30894.23267067748
Equus przewalskii,38194.141491215676,34632.59017474448
Fukomys damarensis,45586.05445272264,39990.96879843992
Bison bison bison,47293.79430425728,42441.87654380782
Camelus dromedarius,39747.735552115584,36089.61212590299
Camelus bactrianus,40779.98370640291,36811.53227485684
Rhinopithecus roxellana,48273.60628144247,43420.68362405379
Colobus angolensis palliatus,57083.589388239954,50267.24257572758
Mandrillus leucophaeus,56318.70810281518,49497.71520195838
Aotus nancymaae,55481.98551292091,48465.14164056382
Cercocebus atys,59529.00144279325,51709.78223440581
Macaca nemestrina,60663.06177551598,51643.34615022147
Propithecus coquereli,48252.24243824783,44787.60463205464
Equus asinus,44359.58474288761,39752.90263170649
Marmota marmota marmota,35707.69787011505,33167.21422458876
Rousettus aegyptiacus,44011.76289186154,38345.13703665884
Miniopterus natalensis,40609.913819619906,36612.868340107656
Cebus capucinus imitator,54205.2776569523,48125.188487748295
Manis javanica,34190.76493457235,30516.265076806372
Rhinopithecus bieti,50753.62405215461,44558.629508045124
Capra hircus,51063.993105110894,45753.486837029894
Panthera pardus,56940.205886688615,49600.71942410692
Hipposideros armiger,49464.969403848176,43581.02891388918
Tursiops truncatus,50888.11450023463,45548.367785077426
Castor canadensis,32234.36994485294,29380.38299632353
Phascolarctos cinereus,65587.2503608581,57875.74207356528
Odocoileus virginianus texanus,42007.986900185104,36939.294650908916
Neomonachus schauinslandi,47006.38819842787,44161.98268536223
Meriones unguiculatus,32318.46312014888,29246.082883210023
Bos taurus,52707.79733106993,46211.405149243175
Enhydra lutris kenyoni,49826.64302612631,46055.260440238635
Delphinapterus leucas,57671.09251862248,50164.129115837204
Ovis aries,49631.58136924804,44735.07753460531
Piliocolobus tephrosceles,49145.51873452776,43580.751101414004
Physeter catodon,50778.93863534564,45485.193002538195
